IDS_SCENARIO_GAISERIC "Gaiseric (406)"
397705 "Naimans"
397706 "Tatars"
397707 "Khamag Mongols"
397708 "1. Raids are dangerous, particularly when Temujin has few men. Be prepared to run away when overwhelmed. It is always better to live to raid another day.\n\n2. Protect your Villagers as more can only be obtained by destroying the very few large yurts and holding a khurim.\n\n3. Although you can change diplomacy at will, be cautious when making enemies. Some are very powerful.\n\n4. Hold a khurim at every opportunity. These feasts provide you with heroes, Villagers, more population, new technologies, and a stream of resources.\n\n5. The Mongols are not yet familiar with siege engines. Attacking defenses with cavalry is costly, but it is the only way to crack the rich insides of the settled kingdoms. Destroying the buildings of the Xi Xia and Great Jin provides Food and Wood as well as Gold.\n\n6. Historically, Temujin united the Mongol tribes before conquering the Xi Xia and Jin. Attempting to entirely defeat the settled kingdoms -- instead of just raiding them -- is possible, but is a more difficult objective if Mongolia has not yet been united."
397709 "Your scouts report:\n\n- Temujin and his Borjigin clan are part of a broader confederation called the Khamag Mongol (Grey). As Temujin strengthens his position with each khurim (feast), more of the Khamag Mongols will join him.\n\n- The Merkits (Yellow) have taken Temujin's wife, Borte. They are unscrupulous raiders who attack from camps in the central steppe.\n\n- The Kereyids (Blue), led by Ong Khan, are friendly to Temujin. They inhabit rocky outcrops just to the south of Temujin's position.\n\n- The Tatars (Cyan) occupy the eastern plains and the edges of the southern desert bordering the settled kingdoms. They primarily fight as Light Cavalry and Cavalry Archers, but have begun to use camels in battle.\n\n- The Naimans (Green), led by Tayang Khan, rule the foothills of the Altai Mountains of the west. They field Mangudai and Knights. As Nestorian Christians, their Monks are eager to convert other tribes to their faith.\n\n- Finally, the settled kingdoms lie to the far south and the east, across the Gobi Desert. The Xi Xia (Purple) were once nomads but have now taken up the ways of their settled subjects. Their armies consist of Spearmen, Skirmishers, Archers, and Scorpions. \n\n- Like the Xi Xia, the Great Jin (Red) were also once nomads who conquered settled peoples and assimilated into their society. They defend the frontiers of the Great Wall with Chu Ko Nu, Swordsmen, and Knights."
397710 "Jamukha"
397711 "Ong Khan"
397712 "Temujin"
397713 "Shaman"
397714 "Keraite Princess"
397715 "Tatar Princess"
397716 "Tayang Khan"
397717 "Naiman Princess"
397718 "Tatar Khan"
397719 "Buddhist Monk"
397720 "A villager has appeared at the yurt."
397722 "Blood feuds and raids ravage the steppe as brother turns against brother, driven by plunder and the promises of envoys with purses of gold."
397723 "Amid the turmoil, some dream of a Great Khan who will unite the tribes and send the sons of Mongolia forth to create a great empire."
397724 "Temujin is a son of the once great Borjigin clan, reduced to poverty and disgrace. A rival tribe, the Merkits, have kidnapped Temujin's wife, Borte."
397725 "Temujin's blood brother Jamukha has come to his aid, but Temujin needs the help of a more powerful khan to rescue his wife."
397726 "Ong Khan, blood brother of Temujin's dead father, would help the young Mongol in his quest. Temujin must go and bow before the khan."
397727 "<ORANGE>Jamukha: Blood brother, the Merkits are without honor! Even the Kereyids will see that your cause is just."
397728 "<BLUE>Ong Khan: Your father helped me long ago and I shall repay his favor. Take these mares, Temujin, and give them to your clansmen."
397729 "Bring the horses to the fire at your camp to raise Mangudai. Any horses you find can be brought to your fire to raise these skilled horse archers."
397730 "The Merkits have taken Temujin's wife to their camp and imprisoned her in the largest yurt."
397731 "Raiding is a way of life among the Mongols. Raid enemy camps to collect animals for food. Horses can be used to raise Mangudai."
397732 "Destroy enemy yurts for gold and destroy large yurts to capture Villagers."
397733 "One day, Temujin may be powerful enough to raid the settled kingdoms for even greater plunder!"
397734 "<ORANGE>Jamukha: Well done, brother! Quickly, let us take Borte to safety before more Merkits come!"
397735 "<BLUE>Ong Khan: God favors you, Temujin. I also favor those who serve me. Take this, give it to your people, and restore your tribe to glory."
397736 "Holding a Khurim, or feast, increases Temujin's power, but costs gold. Select your yurt to use the gold Ong Khan has given you to hold a khurim."
397737 "Generous khans are strong khans. With each khurim, the clan can support more warriors and you receive additional benefits, such as heroes and resources."
397738 "Only by holding khurims will Temujin one day be able to host a Kurultai, a great gathering of the tribes, and be elected Great Khan."
397739 "<ORANGE>Jamukha: The time has come for me to return to my clan, Temujin. May we always honor our oath as blood brothers."
397740 "Temujin dreams of uniting the tribes, but he is a long way from being elected Great Khan."
397741 "He will need to weaken the power of the rival tribes, hold khurims to increase his own power, and perhaps even raid the settled kingdoms..."
397742 "Change diplomacy to attack rival tribes."
397743 "Fearsome Mangudai join Temujin. Bring horses to the fire to raise these powerful horse archers."
397744 "Villagers can collect wood and food and bring these resources to Temujin's yurt for collection. They can also construct lumber camps, mills, and other buildings."
397745 "A khan protects his people. It is important for Temujin to defend his Villagers as they can only be obtained by raiding large yurts."
397746 "Jamukha has fallen! He has returned to Temujin's yurt to recover."
397747 "Temujin has fallen! He has returned to his yurt to recover."
397748 "The tribesmen celebrate Temujin's generosity and his power grows."
397749 "Borte's death hurts Temujin deeply. In anguish, he retreats to the wilderness and is never heard from again."
397750 "+ Seek the help of Ong Khan of the Kereyids."
397751 "+ Destroy the Merkit large yurt to free Borte."
397752 "+ Bring the horses to the fire to raise Mangudai."
397753 "+ Bring Borte to your yurt."
397754 "+ Select your yurt to hold a khurim."
397755 "- Hold <Remaining Khurim> more khurim to summon the Kurultai."
397756 "Choose one of the following:"
397757 "+ Defeat the Merkits, Tatars, Kereyids, and Naimans."
397758 "+ Defeat the Xi Xia and Great Jin."
397759 "- Bring Temujin to the Great Tent."
397760 "+ The Great Tent must not be destroyed."
397761 "Though Borte is Temujin's chief wife, only by taking additional wives can Temujin secure peace between tribes. Some nearby khans offer their daughters in marriage."
397762 "Bring Temujin himself to one of the daughters to take her in marriage. "
397763 "Ong Khan of the Kereyids offers his daughter in marriage."
397764 "The Tatar Khan offers his daughter in marriage."
397765 "Tayang Khan of the Naimans offers his daughter in marriage."
397766 "- Bring Temujin to one of the khans to take another wife."
397767 "Temujin takes Ong Khan's daughter as a wife, bringing peace between his tribe and the Kereyids."
397768 "Temujin takes the Tatar khan's daughter as a wife, bringing peace between his tribe and the Tatars."
397769 "Temujin takes Tayang Khan's daughter as a wife, bringing peace between his tribe and the Naimans."
